OEM ID,OEM Code,OEM Name,Display Name,OEM Type,Status,Logo,Website,Description
O032,KOMAKI,Komaki Electric Vehicles Private Limited,Komaki,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=komakiev.com&sz=256,https://komakiev.com,"Electric scooters, motorcycles and three-wheelers."
O033,OPG_MOBILITY,OPG Mobility Private Limited,OPG Mobility,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=opgmobility.com&sz=256,https://opgmobility.com,"Formerly Okaya EV; electric two-wheelers and three-wheelers, including Ferrato-branded products."
O034,BENLING,Benling India Energy and Technology Private Limited,Benling,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=benlingindia.com&sz=256,https://benlingindia.com,Electric scooters.
O035,EEVE,EeVe India Private Limited,EeVe,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=eeveindia.in&sz=256,https://eeveindia.in,Electric scooters.
O036,TECHO,Techo Electra Motors Private Limited,Techo Electra,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=techoelectra.com&sz=256,https://techoelectra.com,Electric scooters.
O037,JITENDRA,Jitendra New EV Tech Private Limited,Jitendra EV,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=jitendraev.com&sz=256,https://jitendraev.com,Electric scooters.
O038,ODYSSE,Odysse Electric Vehicles Private Limited,Odysse,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=odysse.in&sz=256,https://odysse.in,Electric scooters and motorcycles.
O039,BOUNCE,Bounce Infinity E-Mobility Private Limited,Bounce Infinity,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=bounceinfinity.com&sz=256,https://bounceinfinity.com,Electric scooters and battery-swapping mobility.
O040,NEXZU,Nexzu Mobility Private Limited,Nexzu,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=nexzu.in&sz=256,https://nexzu.in,Electric bicycles and low-speed two-wheelers.
O041,AVON,Avon Cycles Limited,Avon E-Bikes,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=avoncycles.com&sz=256,https://avoncycles.com,Electric bicycles and low-speed electric mobility products.
O042,EMOTORAD,EMotorad,EMotorad,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=emotorad.com&sz=256,https://emotorad.com,Electric bicycles.
O043,HERO_LECTRO,Hero Cycles Limited,Hero Lectro,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=herocycles.com&sz=256,https://herocycles.com,Pedal-assist electric bicycles under Hero Cycles.
O044,YULU,Yulu Bikes Private Limited,Yulu,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=yulu.in&sz=256,https://www.yulu.in,Electric micro-mobility vehicles and delivery EVs.
O045,OREVA,Ajanta Manufacturing Limited,Oreva,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=oreva.com&sz=256,https://oreva.com,Electric scooters and e-bikes.
O046,AVAN,Avan Motors India Private Limited,Avan Motors,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=avanmotors.com&sz=256,https://avanmotors.com,Electric scooters.
O047,ENIGMA,Enigma Automobiles Private Limited,Enigma,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=enigmaev.com&sz=256,https://enigmaev.com,Electric scooters.
O049,SPEEDWAYS,Speedways Electric,Speedways Electric,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=speedwaysev.com&sz=256,https://speedwaysev.com,"Electric passenger, utility, cargo and institutional vehicles, including three-wheelers and shuttle buses."
O050,JEZZA,Vani Electric Vehicles Private Limited,Jezza Motors,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=jezzamotors.com&sz=256,https://jezzamotors.com,Electric two-wheelers and e-rickshaws sold under the Jezza Motors brand.
O051,MAHINDRA_LMM,Mahindra Last Mile Mobility Limited,Mahindra Last Mile,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=mahindralastmilemobility.com&sz=256,https://mahindralastmilemobility.com,Electric passenger and cargo three-wheelers.
O052,PIAGGIO,Piaggio Vehicles Private Limited,Piaggio Ape,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=piaggio.com&sz=256,https://www.piaggio.com,Electric passenger and cargo three-wheelers.
O053,YC,YC Electric Vehicle Private Limited,YC Electric,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=ycelectric.com&sz=256,https://ycelectric.com,Electric passenger and cargo three-wheelers.
O054,SAERA,Saera Electric Auto Private Limited,Saera Electric,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=saeraauto.com&sz=256,https://saeraauto.com,Electric passenger three-wheelers.
O055,JS_AUTO,J.S. Auto Private Limited,J.S. Auto,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=jsautoelectric.com&sz=256,https://jsautoelectric.com,Electric three-wheelers.
O056,LOHIA,Lohia Auto Industries,Lohia Auto,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=lohiaauto.com&sz=256,https://www.lohiaauto.com,Electric three-wheelers.
O057,ATUL,Atul Auto Limited,Atul Auto,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=atulauto.co.in&sz=256,https://atulauto.co.in,Electric passenger and cargo three-wheelers.
O058,EULER,Euler Motors Private Limited,Euler Motors,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=eulermotors.com&sz=256,https://eulermotors.com,Electric cargo three-wheelers and commercial vehicles.
O059,ALTIGREEN,Altigreen Propulsion Labs Private Limited,Altigreen,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=altigreen.com&sz=256,https://altigreen.com,Electric cargo three-wheelers.
O060,OMEGA,Omega Seiki Mobility Private Limited,Omega Seiki Mobility,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=omegaseiki.com&sz=256,https://omegaseiki.com,Electric cargo three-wheelers and commercial vehicles.
O061,KETO,Keto Motors Private Limited,Keto Motors,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=ketomotors.com&sz=256,https://ketomotors.com,Electric three-wheelers.
O062,MINI_METRO,Mini Metro EV LLP,Mini Metro,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=minimetro.in&sz=256,https://minimetro.in,Electric three-wheelers.
O063,BAXY,Baxy Mobility Private Limited,Baxy Mobility,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=baxymobility.com&sz=256,https://baxymobility.com,Electric passenger three-wheelers.
O064,ETO,ETO Motors Private Limited,ETO Motors,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=etomotors.com&sz=256,https://etomotors.com,Electric three-wheelers and electric-mobility fleet solutions.
O065,ERISHA,Erisha E Mobility Private Limited,Erisha E Mobility,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=erishaev.com&sz=256,https://erishaev.com,"Electric three-wheelers, commercial vehicles and buses."
O066,ELECTRIE_ONE,Electrie-One Auto Private Limited,Electrie One,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=electrie.in&sz=256,https://www.electrie.in,"Electric mobility company with two-wheelers, cargo/passenger vehicles and institutional electric vehicles."
O067,E_TRIO,Etrio Automobiles Private Limited,Etrio,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=etrio.in&sz=256,https://etrio.in,Electric cargo three-wheelers and light commercial vehicles for logistics fleets.
O068,EVAGE,EVage Motors Private Limited,EVage Motors,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=evagemotors.com&sz=256,https://evagemotors.com,Electric delivery vans and commercial vehicles.
O069,TRESA,Tresa Motors Private Limited,Tresa Motors,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=tresamotors.com&sz=256,https://tresamotors.com,Electric heavy commercial trucks.
O070,PMI,PMI Electro Mobility Solutions Private Limited,PMI Electro Mobility,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=pmielectro.com&sz=256,https://pmielectro.com,Electric buses.
O071,OLECTRA,Olectra Greentech Limited,Olectra Greentech,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=olectra.com&sz=256,https://olectra.com,Electric buses.
O072,JBM,JBM Auto Limited,JBM Electric Vehicles,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=jbmbuses.com&sz=256,https://www.jbmbuses.com,Electric buses.
O073,SWITCH,Switch Mobility Limited,Switch Mobility,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=switchmobilityev.com&sz=256,https://www.switchmobilityev.com,Electric buses and light commercial vehicles.
O074,ASHOK_LEYLAND,Ashok Leyland Limited,Ashok Leyland,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=ashokleyland.com&sz=256,https://ashokleyland.com,"Commercial-vehicle OEM with electric mobility products through the group ecosystem, including Switch Mobility."
O075,TATA,Tata Motors Limited,Tata Motors,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=tatamotors.com&sz=256,https://www.tatamotors.com,"Electric passenger cars, light commercial vehicles and electric buses."
O076,MAHINDRA,Mahindra & Mahindra Limited,Mahindra,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=mahindra.com&sz=256,https://www.mahindra.com,Electric passenger SUVs.
O077,MG,JSW MG Motor India Private Limited,JSW MG Motor,Joint Venture,Active,https://www.google.com/s2/favicons?domain=mgmotor.co.in&sz=256,https://www.mgmotor.co.in,Electric passenger cars.
O078,HYUNDAI,Hyundai Motor India Limited,Hyundai,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=hyundai.com&sz=256,https://www.hyundai.com/in,Electric passenger cars.
O079,KIA,Kia India Private Limited,Kia,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=kia.com&sz=256,https://www.kia.com/in,Electric passenger cars.
O080,MARUTI,Maruti Suzuki India Limited,Maruti Suzuki,Joint Venture,Active,https://www.google.com/s2/favicons?domain=marutisuzuki.com&sz=256,https://www.marutisuzuki.com,"Electric passenger cars including the e VITARA, with deliveries commenced in India in 2026."
O081,BYD,BYD India Private Limited,BYD,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=byd.com&sz=256,https://www.byd.com/in,Electric passenger cars and buses.
O082,VINFAST,VinFast Auto India Private Limited,VinFast,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=vinfastauto.in&sz=256,https://vinfastauto.in,Electric passenger cars.
O083,CITROEN,Stellantis India Automobiles Private Limited,Citroen,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=citroen.in&sz=256,https://www.citroen.in,Electric passenger cars.
O084,TOYOTA,Toyota Kirloskar Motor Private Limited,Toyota,Joint Venture,Active,https://www.google.com/s2/favicons?domain=toyotabharat.com&sz=256,https://www.toyotabharat.com,"Electric passenger cars including the Urban Cruiser Ebella, launched in India in 2026."
O085,HONDA,Honda Motorcycle & Scooter India Private Limited,Honda 2Wheelers,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=honda2wheelersindia.com&sz=256,https://www.honda2wheelersindia.com,Electric scooters for India including ACTIVA e: and QC1.
O088,TESLA,Tesla India Motors and Energy Private Limited,Tesla,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=tesla.com&sz=256,https://www.tesla.com,Electric passenger cars.
O089,BMW,BMW India Private Limited,BMW,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=bmw.in&sz=256,https://www.bmw.in,Luxury electric passenger cars.
O090,MERCEDES,Mercedes-Benz India Private Limited,Mercedes-Benz,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=mercedes-benz.co.in&sz=256,https://www.mercedes-benz.co.in,Luxury electric passenger cars.
O091,VOLVO,Volvo Car India Private Limited,Volvo Cars,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=volvocars.com&sz=256,https://www.volvocars.com/in,Luxury electric passenger cars.
O092,AUDI,Audi India,Audi,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=audi.in&sz=256,https://www.audi.in,Luxury electric passenger cars.
O093,PORSCHE,Porsche India,Porsche,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=porsche.com&sz=256,https://www.porsche.com/india,Luxury electric passenger cars.
O094,JAGUAR,Jaguar Land Rover India Limited,Jaguar,Foreign OEM,Inactive,https://www.google.com/s2/favicons?domain=jaguar.in&sz=256,https://www.jaguar.in,Jaguar I-PACE represented Jaguar’s battery-electric offering in India; the model has been discontinued globally.
O095,LEXUS,Lexus India,Lexus,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=lexusindia.co.in&sz=256,https://www.lexusindia.co.in,Luxury electric passenger cars.
O096,OBEN,Oben Electric Vehicles Private Limited,Oben Electric,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=obenelectric.com&sz=256,https://www.obenelectric.com,Electric motorcycles including the Rorr range.
O097,ORXA,Orxa Energies Private Limited,Orxa Energies,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=orxaenergies.com&sz=256,https://orxaenergies.com,Electric motorcycles including the Mantis.
O098,GEMOPAI,Goreen E-Mobility Private Limited,Gemopai,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=gemopai.com&sz=256,https://www.gemopai.com,Electric scooters including Astrid Lite and Ryder models.
O099,BATTRE,BattRE Electric Mobility Private Limited,Batt:RE,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=battre.in&sz=256,https://battre.in,Electric scooters including Storie and LOEV models.
O100,DELTIC,Delta Autocorp Limited,Deltic,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=deltic.co&sz=256,https://deltic.co,"Electric scooters, e-rickshaws and electric cargo three-wheelers."
O101,UJAAS,Ujaas Energy Limited,Ujaas EV,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=ev.ujaas.com&sz=256,https://ev.ujaas.com,Electric scooters including eSpa and eGo models.
O102,MONTRA,TI Clean Mobility Private Limited,Montra Electric,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=montraelectric.com&sz=256,https://www.montraelectric.com,"Electric three-wheelers, small commercial vehicles, heavy trucks and electric tractors."
O103,EKA,Pinnacle Mobility Solutions Private Limited,EKA Mobility,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=ekamobility.com&sz=256,https://ekamobility.com,"Pure-electric commercial vehicles including three-wheelers, SCVs, trucks and buses."
O104,EICHER,VE Commercial Vehicles Limited,Eicher Trucks & Buses,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=eichertrucksandbuses.com&sz=256,https://www.eichertrucksandbuses.com,Electric small commercial vehicles including the Eicher Pro X electric range.
O105,FORCE,Force Motors Limited,Force Motors,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=forcemotors.com&sz=256,https://www.forcemotors.com,Electric shared-mobility and passenger commercial vehicles including e-Traveller/Smart Citibus EV derivatives.
O106,MINI,BMW India Private Limited,MINI,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=mini.in&sz=256,https://www.mini.in,All-electric MINI passenger cars sold in India.
O107,LOTUS,Lotus Cars Limited,Lotus,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=lotuscars.com&sz=256,https://www.lotuscars.com,Premium battery-electric performance cars and SUVs including Eletre and Emeya.
O108,ROLLS_ROYCE,Rolls-Royce Motor Cars Limited,Rolls-Royce,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=rolls-roycemotorcars.com&sz=256,https://www.rolls-roycemotorcars.com,Ultra-luxury battery-electric passenger cars including Spectre.
O109,SUZUKI_2W,Suzuki Motorcycle India Private Limited,Suzuki,Foreign OEM,Active,https://www.google.com/s2/favicons?domain=suzukimotorcycle.co.in&sz=256,https://www.suzukimotorcycle.co.in,"Electric scooters including the e-ACCESS, launched for the Indian market in 2026."
O110,FLYING_FLEA,Eicher Motors Limited,Flying Flea,Legacy OEM,Active,https://www.google.com/s2/favicons?domain=flyingflea.royalenfield.com&sz=256,https://flyingflea.royalenfield.com/in/en,Royal Enfield group electric motorcycle brand; Flying Flea C6 launched in India in 2026.
O111,ESPRINTO,e-Sprinto,e-Sprinto,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=esprinto.in&sz=256,https://www.esprinto.in,Indian electric scooter brand offering high-speed and low-speed electric scooters.
O112,VAYVE,Vayve Mobility Private Limited,Vayve Mobility,Indian EV OEM,Active,https://www.google.com/s2/favicons?domain=vayvemobility.com&sz=256,https://vayvemobility.com,Indian urban electric-car maker behind the Eva compact solar-assisted electric vehicle.
